epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,304.862,0.51845,0.59789,1.11706,0.88773,0.38272,0.45136,0.26236,1.83073,2.12687,1.51033,1.16739e-05,1.16739e-05,1.16739e-05
92,306.667,0.47649,0.4348,0.87024,0.83359,0.48306,0.50619,0.26784,1.83757,2.22169,1.53709,1.07315e-05,1.07315e-05,1.07315e-05
93,308.526,0.62064,0.51647,1.24327,0.83359,0.48306,0.50619,0.26784,1.83757,2.22169,1.53709,9.76562e-06,9.76562e-06,9.76562e-06
94,310.647,0.62146,0.50451,1.01741,0.83359,0.48306,0.50619,0.26784,1.83757,2.22169,1.53709,8.77613e-06,8.77613e-06,8.77613e-06
95,312.649,0.75676,0.6128,1.31133,0.83359,0.48306,0.50619,0.26784,1.83757,2.22169,1.53709,7.76308e-06,7.76308e-06,7.76308e-06
96,314.633,0.58048,0.56191,1.06974,0.82816,0.48167,0.50737,0.27361,1.83499,2.24496,1.52762,6.72648e-06,6.72648e-06,6.72648e-06
97,316.599,0.47419,0.50819,0.93809,0.82816,0.48167,0.50737,0.27361,1.83499,2.24496,1.52762,5.6663e-06,5.6663e-06,5.6663e-06
98,318.644,0.63035,0.5632,1.14011,0.82816,0.48167,0.50737,0.27361,1.83499,2.24496,1.52762,4.58257e-06,4.58257e-06,4.58257e-06
99,321.892,0.50511,0.43954,0.8946,0.82816,0.48167,0.50737,0.27361,1.83499,2.24496,1.52762,3.47528e-06,3.47528e-06,3.47528e-06
100,324.47,0.5,0.43961,0.9435,0.81528,0.48028,0.50619,0.28839,1.76,2.05381,1.4319,2.34442e-06,2.34442e-06,2.34442e-06
